name,longitude,latitude,population,gdp,type,province
北京,116.4074,39.9042,21540000,4027.1,直辖市,北京
上海,121.4737,31.2304,24280000,4321.5,直辖市,上海
广州,113.2644,23.1291,15300000,2501.9,省会,广东
深圳,114.0579,22.5431,13440000,3103.6,特区,广东
杭州,120.1551,30.2741,12200000,1810.0,省会,浙江
南京,118.7969,32.0603,8500000,1482.9,省会,江苏
武汉,114.3054,30.5928,11200000,1768.1,省会,湖北
成都,104.0665,30.6598,16330000,2001.2,省会,四川
西安,108.9398,34.3416,12950000,1020.9,省会,陕西
重庆,106.5516,29.563,32050000,2503.2,直辖市,重庆
天津,117.2008,39.1189,15600000,1573.0,直辖市,天津
苏州,120.6197,31.3017,12748000,2235.4,地级市,江苏
青岛,120.3826,36.0671,10071000,1240.7,地级市,山东
无锡,120.3019,31.5804,7462000,1237.4,地级市,江苏
宁波,121.544,29.8683,9404000,1240.9,地级市,浙江
